,News,Category
1237,သို့_ပူးပေါင်းဆောင်ရွက်_ရန်_အကျပ်အတည်း_ဖြစ်လာ_ရ_ပါသည်_ဟု_ဖော်ပြ_ထား_သည့်_WNO_၏_နုတ်ထွက်_စာ_သည်_မေလ_၇_,Politics
1238,ရက်_တွင်_လူမှုကွန်ရက်_၌_ပျံ့နှံ့_နေ_၍_WNO_နှင့်_UNFC_တာဝန်ရှိသူ_များ_ထံ_7Day Daily_သတင်းစာ_က_ဆက်သွယ်_ရာ_,Politics
1239,အဆက်အသွယ်_မ_ရရှိ_ပေ_။_,Politics
1240,ယင်း_စာ_တွင်__ဝ__ပြည်သူလူထု_နှင့်__ဝ_အဖွဲ့အစည်း_တို့_မှ_လည်း_,Politics
1241,ဝ_တိုင်းရင်းသား_လက်နက်ကိုင်_တော်လှန်ရေး_အဖွဲ့အစည်း_များ_တစ်_ဖွဲ့_တည်း_မက_ကွဲပြား_စွာ_ရှိနေ_ခြင်း_အစား_,Politics
1242,တစ်_ဖွဲ့_တည်း_အဖြစ်_စုစည်း_ကြ_ရန်_တင်ပြ_တောင်းဆို_မှု_ကြောင့်_မိမိ_တို့__ဝ_အမျိုးသား_အဖွဲ့ချုပ်_မှာ_လည်း_တစ်_ဖွဲ့_တည်း_အဖြစ်_,Politics
1243,ပူးပေါင်း_စုစည်း_ရန်_ပြင်ဆင်_လျက်_ရှိပါသည်_ဟု_ပါ_ရှိသည်_။_,Politics
1244,UNFC_ဥက္ကဋ္ဌ_ကို_လိပ်_မူထား_သည့်_WNO_၏_စာ_တွင်_လက်ရှိ_နိုင်ငံရေး_၊_စစ်ရေး_အကျပ်အတည်း_များ_ကြောင့်_UNFC_,Politics
1245,အဖွဲ့ဝင်_အဖွဲ့အစည်း_မှ_ဆက်လက်_ပါဝင်_ရန်_အခက်အခဲ_ရှိ_လာ_သဖြင့်_အဖွဲ့ဝင်_အဖွဲ့အစည်း_အ_ဖြစ်မှ_နုတ်ထွက်_ခွင့်ပေး_ရန်_ဟူ၍_,Politics
1246,ရက်စွဲ_တွင်_မေလ_တပ်_ထား_ကာ_နေ့စွဲ_တပ်မ_ထား_သော__UNFC_အဖွဲ့ဝင်_အဖွဲ့အစည်း_အ_ဖြစ်မှ_နုတ်ထွက်_ခွင့်ပြု_ရန်_တင်ပြ_ခြင်း_,Politics
1247,ဟူ_သည့်_ဖေ့စ်ဘွတ်ခ်_လူမှုကွန်ရက်_တွင်_ပျံ့နှံ့_နေ_သော_စာ_၌_ဖော်ပြ_ထားသည်_။_လက်ရှိ_UNFC_ဥက္ကဋ္ဌ_သည်_ကချင်_,Politics
1248,လက်နက်ကိုင်_အဖွဲ့_(KIO)_ဒု_ဥက္ကဋ္ဌ_ဗိုလ်ချုပ်ကြီး_အင်_ဘန်_လ_ဖြစ်သည်_။_,Politics
1249,KIO_အဖွဲ့အစည်း_သည်_လည်း_UNFC_မှ_နုတ်ထွက်_ရန်_ဧပြီ_၂၉_ရက်_တွင်_စာ_တင်_ထား_ကြောင်း_KIO_,Politics
1250,ထိပ်_ပိုင်း_ခေါင်းဆောင်_တစ်ဦး_က__မေလ_၆__ရက်_တွင်_အတည်ပြု_ပြောကြား_သည်_။_KIO_က_စာ_တင်_ထား_ကြောင်း_,Politics
1251,သတင်းထွက်_ပေါ်_ပြီး_နောက်_တစ်_ရက်_မေလ_၇__ရက်_တွင်_အထက်ပါ_စာ_ပျံ့နှံ့_လာ_ခဲ့_သည်_။_,Politics
1252,WNO_နှင့်_UWSA_တို့_အကြား_ဆက်ဆံရေး_အခြေအနေ_နှင့်_ပတ်သက်_၍_ဦးညီ_ရန်း_က__ဌာနချုပ်_နဲ့_တော့_,Politics
1253,တိုက်ရိုက်_အမြဲတမ်း_ဆက်သွယ်_မှု_တွေ_ရှိပါတယ်_။_ဒါမျိုး_ဖြစ်_မယ်_ဆို_ရင်_တော့_ကျွန်တော်_တို့_က_ကြို_ဆိုပြီး_သား_ပဲ_လေ_ဟု_ပြော_,Politics
1254,ကြားသည်_။_,Politics
1255,ကြား_ရ_တဲ့_သတင်း_အရ_တော့_ဟုတ်_မယ်_ထင်_ပါ_တယ်__ငြိမ်းချမ်းရေး_လုပ်ငန်းစဉ်_တွင်_ပါဝင်_ဆောင်ရွက်_နေ_သူ_တစ်ဦး_က_,Politics
1256,UNFC_မှ_နုတ်ထွက်_ခွင့်တောင်း_ဆို_သည့်_WNO_၏_စာ_ထွက်ပေါ်_လာ_မှု_နှင့်_ပတ်သက်_၍_ပြောသည်_။_,Politics
1257,ကရင်အမျိုးသား_အစည်းအရုံး_(KNU)_ဒု_ဥက္ကဋ္ဌ_ပ_ဒို_စော_ကွယ်_ထူး_ဝင်း_က_လည်း__WNO_ကတော့_ဖြစ်နိုင်ခြေ_လည်း_,Politics
1258,ရှိ_ရင်_လည်း_ရှိ_နိုင်_တယ်_။_ဘာ_ဖြစ်_လို့_လဲဆို_ရင်_သူ_တို့_က__မူလ_က_တည်း_ကို_က_ဆက်စပ်မှု_ရှိနေ_တာ_ကိုး_။_လူမျိုး_က_လည်း_တူ_,Politics
1259,မူလ_အဖွဲ့အစည်း_က_လည်း_တစ်_ဖွဲ့_တည်း_က_နေ_နောက်ပိုင်း_မှ__ဝ_ဖြူ_နဲ့__ဝ_နီ_ဖြစ်လာ_တဲ့_သဘောရှိ_နေ_တာ_ကိုး_။_ဖြစ်_နိုင်_တယ်_။_,Politics
1260,ဒါပေမဲ့_အတိအကျ_မသိ_တော့_ပြော_ဖို့_ခက်_တယ်__ဟု_ဆိုသည်_။_,Politics
1261,တိုင်းရင်းသား_အရေး_လေ့လာ_သုံးသပ်_သူ_ဦးမောင်မောင်စိုး_က__သူ_တို့_ပေါင်း_ဖို့_ကြိုးစား_တာ_ကြာ_ပြီ_။_မ_ပေါင်း_ဖြစ်_ဘူး_ပေါ့_။_,Politics
1262,ဒါပေမဲ့_ဒီနေ့_တပ်ပေါင်း_စု_အပြောင်းအလဲ_မှာ_UWSA_က_လည်း_စည်းရုံး_တာ_ဖြစ်_နိုင်_တာ_ပေါ့_ဟု_သုံးသပ်_သည်_။_,Politics
1263,ဦးမောင်မောင်စိုး_က_၎င်း_၏_ဖေ့စ်ဘွတ်ခ်_စာမျက်နှာ_တွင်___ဝ_တို့_ကြား_တွင်_ဗ_ကပ_နှင့်_ပေါင်း_ခဲ့_သော_UWSA_အား__ဝ_နီ_,Politics
1264,ဟု_ခေါ်_ကြ_သည်_။_ဗ_ကပ_နှင့်_မ_ပေါင်း_သော_WNO_အား__ဝ_ဖြူ_ဟု_ခေါ်_ကြ_သည်_။_သို့ဖြစ်ရာ_လက်ရှိအချိန်_တွင်_,Politics
1265,ဝ__ဖြူ_ဟု_ခေါ်_သော_WNO_သည်_UNFC_နှင့်_ဆက်_သွား_မည်_ထက်_UWSA_နှင့်_ပြန်လည်_ပူးပေါင်း_သွား_ပါ_က_အံ့သြ_စရာ_မရှိ_ပေ_။_,Politics
1266,LDU_ခေါ်_လားဟူ_အဖွဲ့_မှ_လည်း_UWSA_နှင့်_ဆက်စပ်မှု_ရှိပေသည်_။_UWSA_၏_(_၁၇၁_)_စစ်_ဒေသ_ဟု_ခေါ်_သည့်_မိုင်းဆတ်_ခရိုင်_ရှိ_,Politics
1267,UWSA_တပ်ဖွဲ့_အတွင်း_များစွာ_ပါဝင်_ထား_ကြ_သည်__ဟု_ရေးသား_ထားသည်_။_,Politics
1268,UNFC_အဖွဲ့ဝင်_အဖွဲ့အစည်း_များ_တစ်နိုင်ငံလုံး_ပစ်ခတ်_တိုက်ခိုက်_မှု_ရပ်စဲ_ရေး_သဘောတူ_စာချုပ်_,Politics
1269,(NCA)_လက်မှတ်ထိုး_နိုင်_ရေး_အစိုးရ_နှင့်_UNFC_တို့_အကြား_ညှိနှိုင်း_နေ_ဆဲ_အခြေအနေ_တွင်_KIO_နှင့်_WNO_အဖွဲ့_များ_UNFC_,Politics
1270,မှ_နုတ်ထွက်_မည်_ဆို_သည့်_အခြေအနေ_များ_ဖြစ်ပေါ်_လာ_ခြင်း_ဖြစ်သည်_။_လက်ရှိ_UNFC_အဖွဲ့အစည်း_များသည်_KIO_၊_SSPP_၊_,Politics
1271,NMSP_၊_KNPP_၊_WNO_၊_ANC_၊_LDU_တို့_ဖြစ်သည်_။_,Politics
1272,တစ်ဖက်_တွင်_UWSA_ဦးဆောင်_သည့်_မြောက်ပိုင်း_လက်နက်ကိုင်_ခုနစ်_ဖွဲ့_က_NCA_မထိုး_ဘဲ_အစိုးရ_နှင့်_နိုင်ငံရေး_ဆွေးနွေး_နိုင်_ရန်_,Politics
1273,"ကြိုးစား_နေသည်_။_UWSA_၏_ဦးဆောင်_မှု_ဖြင့်_နိုင်ငံရေး_ဆွေးနွေး_ရန်_ဆုံးဖြတ်_ထား_သည့်_အဖွဲ့_ခုနစ်_ဖွဲ့သည်_UWSA, KIO,_",Politics
1274,"SSPP, TNLA, MNDAA, NDAA_နှင့်_AA_တို့_ဖြစ်သည်_။_",Politics
1275,NCA_မထိုး_ရ_သေး_သည့်_တိုင်းရင်းသား_အဖွဲ့_အားလုံး_နှင့်_တွေ့ဆုံ_ညှိနှိုင်း_နိုင်_ရေး_ကြိုးစား_နေ_၍_ထိုသို့_ဆွေးနွေး_ရာတွင်_NCA_,Politics
1276,အတိုင်း_ဆွေးနွေး_မည်_ဟု_အစိုးရ_က_မေလ_၆__ရက်_၌_သဘောထား_ထုတ်ပြန်_ထားသည်_။_,Politics
1277,ရှမ်း_တိုင်းရင်းသား_လက်နက်ကိုင်_အဖွဲ့_များ_၊_ရှမ်း_နိုင်ငံရေးပါတီ_များ_နှင့်_ရှမ်း_လူမှုအဖွဲ့အစည်း_များ_ညီညွတ်ရေး_ဆောင်ရွက်_ရန်_,Politics
1278,ဖွဲ့စည်း_ထား_သည့်_ရှမ်း_ပြည်_ညီညွတ်ရေး_ကော်မတီ_(CSSU)_ဥက္ကဋ္ဌ_တာဝန်_ကို_ရှမ်း_လက်နက်ကိုင်_အဖွဲ့_,Politics
1279,(RCSS)_ဥက္ကဋ္ဌ_ဗိုလ်ချုပ်ကြီး_ယွက်_ဆစ်_က_လွှဲပြောင်း_ယူခဲ့_ကြောင်း_သတင်းရ_ရှိသည်_။_,Politics
1280,CSSU_အစည်းအဝေး_ကို_ထိုင်းနိုင်ငံ_ချင်း_မိုင်_မြို့_၌_မေလ_၄__ရက်_နှင့်_၅__ရက်_တွင်_ကျင်းပ_ခဲ့_ပြီး_ယခင်_CSSU_ဥက္ကဋ္ဌ_တာဝန်ယူ_,Politics
1281,ထား_သည့်_ရှမ်း_တိုင်းရင်းသား_များ_ဒီမိုကရေစီ_အဖွဲ့ချုပ်_(SNLD)_ဥက္ကဋ္ဌ_ခွန်_ထွန်း_ဦး_က_အဖွဲ့_၏_စည်းမျဉ်း_အရ_ပြန်လည်_လွှဲပြောင်း_,Politics
1282,ခဲ့_ခြင်း_ဖြစ်သည်_။_,Politics
1283,ဥက္ကဋ္ဌ_အပြောင်းအလဲ_ကတော့_SSJAC_ဥက္ကဋ္ဌ_ခွန်_ထွန်း_ဦး_က_နေ_ဗိုလ်ချုပ်ကြီး_ယွက်_ဆစ်_ကို_လွှဲပြောင်း_လိုက်_တယ်_။_,Politics
1284,ဗိုလ်ချုပ်ကြီး_ယွက်_ဆစ်_က_မေလ_၆__ရက်_က_နေ_စ_ပြီးတော့_၂၀၁၈_ဇန်နဝါရီ_၃၁_အ__ထိ_အဲဒီ_အထိ_သူ_တာဝန်ယူ_လိမ့်_မယ်_။_,Politics
1285,ဒါကတော့_အက္ခရာ_အစဉ်အတိုင်း_၊_နဂို_က_ချ_မှတ်ထား_တဲ့_စည်းမျဉ်း_အတိုင်း_သွား_တာ_ပေါ့__ဟု_SNLD_ပါတီ_ပြောရေးဆိုခွင့်_ရှိ_,Politics
1286,သူ_ဦးစိုင်းလိတ်_က_ပြောကြား_သည်_။_,Politics
1287,CSSU_ဥက္ကဋ္ဌ_တာဝန်ယူ_ရန်_ရှမ်း_တိုင်းရင်းသား_များ_ဒီမိုကရက်တစ်ပါတီ_(SNDP)_က_လည်း_အ__ဆင့်_သင့်_ဖြစ်သည်_ဟု_,Politics
1288,အစည်းအဝေး_သို့_တင်ပြ_ခဲ့_ကြောင်း_RCSS_အကြံပေး_ဦး_ခွန်း_ဆေ_က_ပြောသည်_။_,Politics
1289,CSSU_ဥက္ကဋ္ဌ_တာဝန်_ကို_အင်္ဂလိပ်_အက္ခရာ_အစဉ်လိုက်_တာဝန်ယူ_ရ_မည်_ဖြစ်_ရာ_ပထမဆုံး_ဥက္ကဋ္ဌ_သည်_RCSS_ဖြစ်သည်_။_၂၀၁၆_,Politics
1290,တွင်_SNLD_တာဝန်ယူ_ရ_မည်_ဖြစ်_သော်လည်း_အဆင်သင့်_မ_ဖြစ်_သေး_၍_SSJAC_က_တာဝန်ယူ_ခဲ့_ခြင်း_ဖြစ်သည်_။_ယခု_အစည်း_,Politics
1291,အဝေး_တွင်_SNDP_က_၎င်း_တို့_အဖွဲ့_အနေဖြင့်_အဆင်သင့်_ဖြစ်ကြောင်း_တင်ပြ_လာ_သော်လည်း_အဖွဲ့_စည်းမျဉ်း_အရ_RCSS_သို့_,Politics
1292,လွှဲပြောင်း_ခဲ့_ခြင်း_ဖြစ်သည်_။_,Politics
1293,CSSU_ကို_တစ်နိုင်ငံလုံး_အ__ပစ်_ရပ်_စာချုပ်_ရေးထိုး_ထား_သည့်_ရှမ်း_ပြည်_ပြန်လည်ထူထောင်_ရေး_ကောင်စီ_(RCSS)_၊_ရှမ်း_တိုင်း_ရင်း_,Politics
1294,သား_များ_ဒီမိုကရက်တစ်ပါတီ_(SNDP)_၊_၁၉၉၆_တွင်_ဖွဲ့စည်း_ခဲ့_သည့်_ရှမ်း_ပြည်_ပူးပေါင်းဆောင်ရွက်ရေး_ကော်မတီ_(SSJAC)_အ_,Politics
1295,ဖွဲ့_ဝင်_အဖွဲ့အစည်း_များ_ဖြစ်_သော_ရှမ်း_ပြည်_တိုးတက်ရေး_ပါတီ_(SSPP)_၊_စိန်_ကျော့_ပြည်သူ့စစ်_အဖွဲ့_၊_ရှမ်း_တိုင်းရင်းသား_များ_ဒီ_မို_,Politics
1296,က_ရေ_စီ_အဖွဲ့ချုပ်_(SNLD)_ပါတီ_စသည်_တို့_ဖြင့်_ဖွဲ့စည်း_ထား_ခြင်း_ဖြစ်သည်_။_CSSU_ကို_၂၀၁၃_နှစ်_ကုန်_က_,Politics
1297,ဖွဲ့စည်း_ခဲ့_ခြင်း_ဖြစ်သည်_။_ပထမဆုံး_ဥက္ကဋ္ဌ_သည်_RCSS_ပင်_ဖြစ်သည်_။_,Politics
1298,CSSU_အစည်းအဝေး_သို့_SNLD_ဥက္ကဋ္ဌ_ဦးခွန်ထွန်း_ဦး_၊_SSPP_နာယက_ဗိုလ်ချုပ်ကြီး_ဆေ_ထင်_၊_RCSS_ဥက္ကဋ္ဌ_ဒုတိယဗိုလ်ချုပ်ကြီး_,Politics
1299,ယွက်_ဆစ်_၊_SNDP_ဥက္ကဋ္ဌ_ဦးစိုင်းအိုက်ပေါင်း_တို့_အပါအဝင်_CSSU_အဖွဲ့ဝင်_ကိုး_ဖွဲ့_မှ_ကိုယ်စားလှယ်_,Politics
1300,၆၀_ကျော်တက်_ရောက်_ခဲ့_ကြောင်း_သတင်းရ_ရှိသည်_။_,Politics
1301,အထောက်အထား_များ_ခိုင်လုံ_၍_ကျိုင်းတုံ_မဲဆန္ဒနယ်_ရလဒ်_ကို_ပြည်ထောင်စု_ရွေးကောက်ပွဲ_ကော်မရှင်_သို့_,Politics
1302,ကန့်ကွက်လွှာ_တင်သွင်း_မည်_ဟု_အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်_ပါတီ_မှ_ဗဟို_အတွင်းရေးမှူး_အဖွဲ့ဝင်_ဦးဝင်းထိန်_က_ပြောသည်_။_,Politics
1303,ကျိုင်းတုံ_က_တချို့_မဲရုံ_တွေ_က_စည်းကမ်း_နဲ့_မ_ညီ_တာ_တွေ_ရှိ_တယ်_။_နောက်_စည်းရုံးရေး_လုပ်_တဲ့_တချို့_အဖွဲ့အစည်း_တွေ_ရဲ့_ဘက်_,Politics
1304,လိုက်_မှု_တွေ_ရှိ_တယ်_။_အဲ_ဒါတွေက_အထောက်အထား_တွေ_ခိုင်လုံ_တယ်_ဟု_၎င်း_က_ဆိုသည်_။_,Politics
1305,မူမမှန်_သည့်_ကိစ္စရပ်_များ_ရှိ_၍__ကန့်ကွက်လွှာ_တင်သွင်း_ရ_ခြင်း_ဖြစ်ကြောင်း_မေလ_၆__ရက်_က_နေပြည်တော်_,Politics
1306,စည်ပင်_ဧည့်ရိပ်သာ_တွင်_ပြုလုပ်_ခဲ့_သော_အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်_၏_CEC_အစည်းအဝေး_အပြီး_တွင်_ဦးဝင်းထိန်_က_,Politics
1307,မီဒီယာ_များ_အား_ရှင်းလင်း_ပြောကြား_ခဲ့_ခြင်း_ဖြစ်သည်_။_,Politics
1308,သို့သော်_ကန့်ကွက်လွှာ_တင်သွင်း_မည့်_နေ့ရက်_နှင့်_အချိန်_ကို_မူ_ထည့်သွင်း_ပြောကြား_ခြင်း_မရှိ_ပေ_။_,Politics
1309,၂၀၁၇_ကြားဖြတ်_ရွေးကောက်ပွဲ_တွင်_အထက်ပါ_မဲဆန္ဒနယ်_များ_အပြင်_ကျေးသီး_နှင့်_မိုင်းရှူး_တို့_၌_အပြတ်အသတ်_,Politics
1310,ရှုံးနိမ့်_ရ_ခြင်း_သည်_ဘာသာစကား_အခက်အခဲ_ကြောင့်_ဟု_ဥပမာ_ပေး_ပြောကြား_ခဲ့_သည်_။_,Politics
1311,ကိုယ့်_ဆီ_ကလူ_တွေ_က_အဲ_ဒီမှာ_ခြေချ_တာ_နည်း_တော့_ပိုင်ပိုင်နိုင်နိုင်_မ_စည်းရုံး_နိုင်_တာ_လည်း_ပါ_တယ်__ဟု_,Politics
1312,ဦးဝင်းထိန်_က_ဆိုသည်_။_,Politics
1313,ထို့အပြင်_ချောင်းဆုံ_မဲဆန္ဒနယ်_ရှုံးနိမ့်_ခဲ့_၍_ဘက်ပေါင်းစုံ_မှ_ချို့ယွင်း_ချက်_များ_ကို_တွေ့မြင်_ရ_သည်_ဟု_၎င်း_က_ဆိုသည်_။_,Politics
1314,ဘယ်လို_ပြန်_ပြီးတော့_ဖြည့်_ရ_မ_လဲဆို_တာကို_နည်းလမ်း_ရှာ_ကြ_တာ_ဟု_CEC_အစည်းအဝေး_တွင်_,Politics
1315,၎င်း_တို့_ဆွေးနွေး_ခဲ့_သည်_များ_ကို_ပြန်လည်_ရှင်းလင်း_ပြောပြ_သည်_။_,Politics
1316,ရှမ်းပြည်နယ်_ရှိ_ကျိုင်းတုံ_မဲဆန္ဒနယ်_အမှတ်_(_၂_)_သည်_ပြည်ထောင်စု_ကြံ့ခိုင်ရေး_နှင့်_ဖွံ့ဖြိုးရေး_ပါတီ_က_အနိုင်ရ_ရှိ_ခဲ့_သော_,Politics
1317,မဲဆန္ဒနယ်_တစ်_ခု_ဖြစ်_၍_ရှမ်း_တိုင်းရင်းသား_များ_ဒီမိုကရက်တစ်ပါတီ_၊_ရှမ်း_တိုင်းရင်းသား_များ_,Politics
1318,ဒီမိုကရေစီ_အဖွဲ့ချုပ်_ပါတီ_၊_ပြည်ထောင်စု_ကြံ့ခိုင်ရေး_နှင့်_ဖွံ့ဖြိုးရေး_ပါတီ_၊_အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်_ပါတီ_နှင့်_လားဟူ_အမျိုးသား_ဖွံ့_,Politics
1319,ဖြိုး_တိုးတက်ရေး_ပါတီ_တို့_ဝင်ရောက်_ယှဉ်ပြိုင်_ခဲ့_သည်_။_,Politics
1320,"ကျိုင်းတုံ_မဲဆန္ဒနယ်_အမှတ်_(_၂_)_တွင်_မဲပေး_ပိုင်_ခွင့်_ရှိ_သူ_၅၆_,_၁၃၆_ဦး_ရှိ_ပြီး_၂၂_,_၇၆၂_ဦး_သာ_",Politics
1321,မဲပေး_ခဲ့_သည်_ဟု_ပြည်ထောင်စု_ရွေးကောက်ပွဲ_ကော်မရှင်_က_ထုတ်ပြန်သည်_။_,Politics
1322,အာဏာ_ရ_ပါတီ_ဒီ_ချုပ်သည်_၂၀၁၇_ကြားဖြတ်_ရွေးကောက်ပွဲ_၌_ရှမ်းပြည်နယ်_ရှိ_လစ်လပ်_မဲဆန္ဒနယ်_ရှစ်_ခု_တွင်_ညောင်ရွှေ_တစ်_နေ_,Politics
1323,ရာ_သာ_အနိုင်ရ_ခဲ့_သည်_။_ထို့အတူ_ပြည်ခိုင်ဖြိုးပါတီ_သည်_လည်း_ရှမ်းပြည်နယ်_ရှိ_လစ်လပ်_မဲဆန္ဒနယ်_ရှစ်_ခု_အနက်_,Politics
1324,ကျိုင်းတုံ_တစ်_နေရာ_၌_သာ_အနိုင်ရ_ခဲ့_သည်_။_ကျန်_မဲဆန္ဒနယ်_ခြောက်ခု_ကို_ရှမ်း_တိုင်းရင်းသား_များ_ဒီမိုကရေစီ_အဖွဲ့ချုပ်_က_,Politics
1325,အနိုင်ရ_ရှိ_ခဲ့_သည်_။_,Politics
1326,၂၀၁၇_ကြားဖြတ်_ရွေးကောက်ပွဲ_တွင်_မြို့နယ်_၂၂_မြို့နယ်_မှ_၁၉_နေရာ_အတွက်_ကိုယ်စားလှယ်_၉၄_ဦး_ဝင်ရောက်_ယှဉ်ပြိုင်_ခဲ့_သည်_။_,Politics
1327,ပြည်ထောင်စု_ငြိမ်းချမ်းရေး_ညီလာခံ_-_၂၁_ရာစု_ပင်လုံ_ဒုတိယ_အစည်းအဝေး_ကို_မေလ_၂၄_ရက်_တွင်_ကျင်းပ_မည်_ဖြစ်_ရာ_ယင်း_,Politics
1328,ညီလာခံ_အတွက်_ပြင်ဆင်_သည့်_အစည်းအဝေး_များ_ကို_မေလ_၇__ရက်_(_ယနေ့_)_က_စ_၍_၁၃_,Politics
1329,ရက်_အထိ_ခုနစ်_ရက်_ဆက်တိုက်_ပြုလုပ်_မည်_ဖြစ်ကြောင်း_သတင်းရ_ရှိသည်_။_,Politics
1330,ပြည်ထောင်စု_ငြိမ်းချမ်းရေး_ဆွေး_နွေ_မှု_ပူးတွဲ_ကော်မတီ_(UPDJC)_၏_နိုင်ငံရေး_၊_စီးပွားရေး_၊_လူမှုရေး_၊_လုံခြုံရေး_၊_မြေယာ_နှင့်_,Politics
1331,သဘာဝပတ်ဝန်းကျင်_ဆိုင်ရာ_မူဝါဒ_ကိစ္စရပ်_များ_စသည့်_လုပ်ငန်း_ကော်မတီ_ငါးခု_အစည်းအဝေး_ကို_မေလ_၇__ရက်_မှ_၉__ရက်_အထိ_,Politics
1332,ကျင်းပ_မည်_ဖြစ်ကြောင်း_UPDJC_အစိုးရ_ကိုယ်စားလှယ်_ဦးလှမောင်_ရွှေ_က_ပြောသည်_။_,Politics
1333,အဆိုပါ_လုပ်ငန်း_ကော်မတီ_တာဝန်_သည်_အမျိုးသား_အဆင့်_နိုင်ငံရေး_ဆွေးနွေးပွဲ_များ_မှ_တင်ပြ_လာ_သော_အကြံပြု_ချက်_နှင့်_,Politics
1334,အဆိုပြု_ချက်_များ_ကို_အကျေအလည်_စေ့စပ်_ညှိနှိုင်း_ဆွေးနွေး_ပြီး_ရွေးချယ်_ရန်_နည်းလမ်း_သုံး_ခု_ထက်_မ_ပိုသော_မူဝါဒ_အဆိုပြု_လွှာ_များ_,Politics
1335,စိစစ်_ရွေးချယ်_ပြုစု_၍_UPDJC_အတွင်းရေးမှူး_အဖွဲ့_သို့_ပေးပို့_ရ_မည်_ဖြစ်သည်_။_,Politics
1336,ထို့နောက်_မေလ_၁၀_၊_၁၁_ရက်_တွင်_UPDJC_အတွင်းရေးမှူး_အဖွဲ့အစည်း_အဝေး_ကျင်းပ_မည်_ဖြစ်သည်_။_UPDJC_,Politics
1337,အတွင်းရေးမှူး_အဖွဲ့_ကို_အစိုးရ_၊_တိုင်းရင်းသား_လက်နက်ကိုင်_အဖွဲ့_နှင့်_နိုင်ငံရေးပါတီ_များ_မှ_ကိုယ်စားလှယ်_၁၅_ဦး_ဖြင့်_,Politics
1338,ဖွဲ့စည်း_ထားသည်_။_,Politics
1339,မေလ_၁၂_ရက်_တွင်_နိုင်ငံတော်_၏_အတိုင်ပင်ခံ_ပုဂ္ဂိုလ်_ဒေါ်အောင်ဆန်းစုကြည်_တက်ရောက်_မည့်_UPDJC_အစည်းအဝေး_,Politics
1340,ကျင်းပ_မည်_ဖြစ်သည်_။_ဒေါ်အောင်ဆန်းစုကြည်_သည်_UPDJC_ဥက္ကဋ္ဌ_လည်း_ဖြစ်သည်_။_ထို့နောက်_မေလ_၁၃_ရက်_တွင်_UPDJC_,Politics
1341,အတွင်းရေးမှူး_အဖွဲ့အစည်း_အဝေး_ကျင်းပ_မည်_ဖြစ်သည်_။_,Politics
1342,ကျွန်တော်_တို့_နေပြည်တော်_မှာ_တော့_၂၁_ရာစု_ပင်လုံ_နဲ့_ပတ်သက်_တဲ့_ပြင်ဆင်မှု_တွေ_လုပ်_ဖို့_ကဏ္ဍ_ငါး_ရပ်_အတွက်_,Politics
1343,လုပ်ငန်း_ကော်မတီ_အစည်းအဝေး_ဆို_တာ_ရှိ_တယ်_။_လုပ်ငန်းအဖွဲ့_တွေ_အားလုံး_ဆွေးနွေး_ပြီးတော့_၂၁_ရာစု_ပင်လုံ_ကို_,Politics
1344,အဓိပ္ပာယ်_ပြည့်ဝ_သော_နိုင်ငံရေး_ဆွေးနွေးပွဲ_ဖြစ်_အောင်_ပြင်ဆင်_တဲ့_အနေ_နဲ့_သွား_စု_မှာ_ပေါ့__ဟု_ပအိုဝ်း_တိုင်းရင်းသား_,Politics
1345,လက်နက်ကိုင်_အဖွဲ့_(PNLO)_ဦးဆောင်_နာယက_ဗိုလ်မှူးကြီး_ခွန်_ဥက္ကာ_က_ပြောကြား_သည်_။_,Politics
1346,အဆိုပါ_အစည်းအဝေး_များ_တွင်_၂၁_ရာစု_ပင်လုံ_ညီလာခံ_၌_အားလုံး_လက်ခံ_နိုင်_သည့်_နိုင်ငံရေး_ဆိုင်ရာ_မူ_များ_,Politics
1347,ချမှတ်_ရေး_ဆိုင်ရာ_များ_၊_ညီလာခံ_သို့_NCA_လက်မှတ်_မထိုး_ရ_သေး_သည့်_အဖွဲ့_များ_ဖိတ်ကြား_ရေး_နှင့်_,Politics
1348,သက်ဆိုင်_သည်_များ_ဆွေးနွေး_ဆုံးဖြတ်_မည်_ဖြစ်ကြောင်း_သ__တင်း_ရ_ရှိသည်_။_,Politics
1349,ညီညွတ်_သော_တိုင်းရင်းသား_လူမျိုး_များ_ဖက်_ဒရယ်_ကောင်စီ_(UNFC)_မှ_နုတ်ထွက်_ရန်_စာ_တင်_ထား_ကြောင်း_က_ချင်တိုင်း_ရင်း_,Politics
1350,သား_လက်နက်ကိုင်_အဖွဲ့_(KIO)_ထိပ်_ပိုင်း_ခေါင်းဆောင်_တစ်ဦး_က_အတည်ပြု_ပြောကြား_သည်_။_,Politics
1351,တစ်နိုင်ငံလုံး_အ_ပစ်_ရပ်_စာချုပ်_(NCA)_လက်မှတ်ထိုး_နိုင်_ရေး_အစိုးရ_၏_ငြိမ်းချမ်းရေး_ကော်မရှင်_နှင့်_UNFC_,Politics
